NAME                                                   READY   STATUS      RESTARTS   AGE     IP           NODE                                NOMINATED NODE   READINESS GATES
alarmengine-6569ddf57-lks5j                            1/1     Running     0          23h     10.0.2.253   aks-agentpool-25996883-vmss0000n8   <none>           <none>
docker-pull-secret-29676208-frqpk                      0/1     Completed   0          9m40s   10.0.0.81    aks-agentpool-25996883-vmss0000ns   <none>           <none>
docker-pull-secret-29676213-ddzbb                      1/1     Running     0          4m35s   10.0.1.16    aks-agentpool-25996883-vmss0000ps   <none>           <none>
frontend-8556c9dffd-7t9w5                              0/1     Completed   1          19d     10.0.0.174   aks-agentpool-25996883-vmss00009s   <none>           <none>
monitor-5b45c988c5-sr45x                               0/1     Completed   1          21d     10.0.0.167   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-activationmfrr-postsync-1778674032-nq2l7   0/1     Completed   0          21d     10.0.1.251   aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-activationmfrr-postsync-1779097412-4d8pb   0/1     Completed   0          17d     10.0.0.115   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-activationmfrr-postsync-1779114512-4t85r   0/1     Completed   0          16d     10.0.0.74    aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-alarmengine-postsync-1778674032-f947h      0/1     Completed   0          21d     10.0.1.237   aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-alarmengine-postsync-1779114304-p4bwt      0/1     Error       0          16d     10.0.0.105   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-alarmengine-postsync-1779884943-c9254      0/1     Error       0          7d23h   10.0.2.44    aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-alarmengine-postsync-1780487852-gfdvw      0/1     Error       0          23h     10.0.2.18    aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-assetmonitor-postsync-1778674049-k75l8     0/1     Completed   0          21d     10.0.2.4     aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-assetmonitor-postsync-1778678411-s5548     0/1     Completed   0          21d     10.0.0.214   aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-assetmonitor-postsync-1779113799-b9wxq     0/1     Completed   0          16d     10.0.0.196   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-assetmonitor-postsync-1779114687-v2cr9     0/1     Completed   0          16d     10.0.2.5     aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-assetplanning-postsync-1778674045-vbbv6    0/1     Completed   0          21d     10.0.1.33    aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-assetplanning-postsync-1778678332-rqczh    0/1     Completed   0          21d     10.0.2.199   aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-assetplanning-postsync-1779114153-cxhdg    0/1     Error       0          16d     10.0.0.252   aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-assetplanning-postsync-1779115765-8wnv8    0/1     Error       0          16d     10.0.2.189   aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-clientgateway-postsync-1778674043-kvjrv    0/1     Completed   0          21d     10.0.0.40    aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-clientgateway-postsync-1778678534-qhmsn    0/1     Completed   0          21d     <none>       aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-clientgateway-postsync-1779113789-nbxxh    0/1     Completed   0          16d     10.0.0.147   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-clientgateway-postsync-1779114513-vg95l    0/1     Completed   0          16d     10.0.0.83    aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-dataprep-postsync-1778674032-p2fqx         0/1     Completed   0          21d     10.0.1.22    aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-dataprep-postsync-1778678525-8mfrv         0/1     Completed   0          21d     10.0.1.22    aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-dataprep-postsync-1779097402-5fhdw         0/1     Error       0          17d     10.0.0.233   aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-dataprep-postsync-1779114513-m8xcp         0/1     Error       0          16d     10.0.2.213   aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-monitor-postsync-1778674047-r6kst          0/1     Completed   0          21d     10.0.1.31    aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-monitor-postsync-1778678517-fgwzq          0/1     Completed   0          21d     <none>       aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-monitor-postsync-1779102089-754f4          0/1     Completed   0          17d     10.0.0.171   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-monitor-postsync-1779113965-z56v5          0/1     Completed   0          16d     10.0.2.229   aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-monitor-postsync-1779114871-tn9lt          0/1     Completed   0          16d     10.0.2.2     aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-telemetry-postsync-1778674054-gkxtk        0/1     Completed   0          21d     10.0.1.226   aks-agentpool-25996883-vmss0000iq   <none>           <none>
seed-assets-telemetry-postsync-1778678534-ncqrt        0/1     Completed   0          21d     10.0.0.215   aks-agentpool-25996883-vmss0000ns   <none>           <none>
seed-assets-telemetry-postsync-1779102089-zqx7v        0/1     Completed   0          17d     10.0.0.149   aks-agentpool-25996883-vmss00009s   <none>           <none>
seed-assets-telemetry-postsync-1779114507-bbbft        0/1     Completed   0          16d     10.0.2.194   aks-agentpool-25996883-vmss0000n8   <none>           <none>
seed-assets-telemetry-postsync-1779114872-t6cn4        0/1     Completed   0          16d     10.0.2.18    aks-agentpool-25996883-vmss0000n8   <none>           <none>
