--- ns=argocd ---
afi-app-of-apps sync=Synced health=Healthy errs=[]
applicationsets sync=Synced health=Healthy errs=[]
argocd sync=Synced health=Healthy errs=[]
argocd-configuration sync=Synced health=Healthy errs=[]
boltz-app-of-apps sync=Synced health=Healthy errs=[]
cert-manager sync=Synced health=Healthy errs=[]
external-secrets-operator sync=Synced health=Healthy errs=[]
fairwinds-polaris sync=Synced health=Healthy errs=[]
fbe-afi-monitoring sync=Synced health=Progressing errs=[]
fbe-boltz-monitoring sync=Synced health=Progressing errs=[]
fbe-ionix-monitoring sync=Synced health=Progressing errs=[]
fbe-ishtar-monitoring sync=Synced health=Progressing errs=[]
fbe-jupiter-monitoring sync=Synced health=Progressing errs=[]
fbe-kidu-monitoring sync=Synced health=Progressing errs=[]
fbe-operations-monitoring sync=Synced health=Progressing errs=[]
fbe-veku-monitoring sync=Synced health=Progressing errs=[]
fbe-voltex-monitoring sync=Synced health=Progressing errs=[]
grafana sync=Synced health=Healthy errs=[]
grafana-dashboards sync=Synced health=Progressing errs=[]
grafana-operator sync=Synced health=Healthy errs=[]
influxdb-vpp-agg-monitoring sync=Synced health=Healthy errs=[]
ingress-nginx sync=Synced health=Healthy errs=[]
ionix-app-of-apps sync=Synced health=Healthy errs=[]
ishtar-app-of-apps sync=Synced health=Healthy errs=[]
jupiter-app-of-apps sync=Synced health=Healthy errs=[]
kidu-app-of-apps sync=Synced health=Healthy errs=[]
kube-prometheus-stack sync=Synced health=Healthy errs=[]
loki sync=Unknown health=Healthy errs=["Failed to load target state: failed to generate manifest for source 1 of 1: rpc error: code = Unknown desc = Manifest generation error (cached): failed to execute helm template command: failed to get command args to log: `helm template . --name-template loki --namespace loki --kube-version 1.31 --values /tmp/b297f6f9-eddc-4c41-878d-5aa3d803d853/loki-stack/loki-stack/values.yaml <api versions removed> --include-crds` failed exit status 1: Error: open /tmp/b297f6f9-eddc-4c41-878d-5aa3d803d853/loki-stack/loki-stack/values.yaml: no such file or directory"]
opentelemetry-collector sync=Synced health=Healthy errs=[]
opentelemetry-operator sync=Synced health=Healthy errs=[]
operations-app-of-apps sync=OutOfSync health=Progressing errs=[]
product-asset-scheduling sync=Synced health=Healthy errs=[]
product-flex-trade-optimizer sync=Synced health=Healthy errs=[]
product-vpp-core sync=OutOfSync health=Healthy errs=[]
product-vpp-dispatching sync=Synced health=Healthy errs=[]
rabbitmq-app-of-apps sync=Synced health=Healthy errs=[]
rabbitmq-cluster sync=Synced health=Healthy errs=[]
rabbitmq-cluster-operator sync=OutOfSync health=Healthy errs=[]
rabbitmq-target-state-service-accounts sync=Synced health=Degraded errs=[]
rabbitmq-target-state-topology-playground sync=Synced health=Healthy errs=[]
rabbitmq-target-state-users sync=Synced health=Unknown errs=[]
rabbitmq-topology-operator sync=Synced health=Healthy errs=[]
robusta sync=Synced health=Healthy errs=[]
roel-psa-test-workload sync=Synced health=Healthy errs=[]
veku-app-of-apps sync=Synced health=Healthy errs=[]
voltex-app-of-apps sync=Synced health=Healthy errs=[]
vpp-monitoring sync=Synced health=Progressing errs=[]
--- ns=operations ---
assetmonitor sync=Synced health=Progressing errs=[]
