NAME                                                   READY   STATUS                   RESTARTS   AGE
assetmonitor-67c757d84b-5csf6                          0/1     ContainerStatusUnknown   0          5d2h
assetmonitor-67c757d84b-89zv6                          0/1     ContainerStatusUnknown   0          13d
assetmonitor-67c757d84b-92dvt                          0/1     ContainerCreating        0          2d22h
assetmonitor-database-cleanup-29671760-5hxnn           0/1     Completed                0          21d
assetmonitor-database-cleanup-29671820-2wqt2           0/1     Completed                0          21d
assetmonitor-database-cleanup-29671880-f85qj           0/1     ContainerCreating        0          12d
assetmonitor-database-cleanup-29671880-qtfn9           0/1     ContainerStatusUnknown   0          13d
docker-pull-secret-29702114-pp988                      0/1     Completed                0          5m59s
docker-pull-secret-29702120-sbbk2                      1/1     Running                  0          51s
seed-assets-activationmfrr-postsync-1779108857-c6txn   0/1     Completed                0          34d
seed-assets-alarmengine-postsync-1779108847-x9fvh      0/1     Completed                0          34d
seed-assets-assetmonitor-postsync-1779108856-8l8ls     0/1     Completed                0          34d
seed-assets-assetplanning-postsync-1779108847-wm2sp    0/1     Completed                0          34d
seed-assets-clientgateway-postsync-1779108847-htb8b    0/1     Completed                0          34d
seed-assets-dataprep-postsync-1779108848-9tfpz         0/1     Completed                0          34d
seed-assets-monitor-postsync-1779108867-gcx6t          0/1     Completed                0          34d
seed-assets-telemetry-postsync-1779108848-5hhtj        0/1     Completed                0          34d
